,open,high,low,close,volume,date
2024-10-14,228.7,231.73,228.6,231.3,39882085,2024-10-14
2024-10-15,233.61,237.49,232.37,233.85,64751367,2024-10-15
2024-10-16,231.6,232.12,229.84,231.78,34082240,2024-10-16
2024-10-17,233.43,233.85,230.52,232.15,32993810,2024-10-17
2024-10-18,236.18,236.18,234.01,235.0,46431472,2024-10-18
2024-10-21,234.45,236.85,234.45,236.48,36254470,2024-10-21
2024-10-22,233.885,236.22,232.6,235.86,38846578,2024-10-22
2024-10-23,234.08,235.144,227.76,230.76,52286979,2024-10-23
2024-10-24,229.98,230.82,228.41,230.57,31109503,2024-10-24
2024-10-25,229.74,233.22,229.57,231.41,38802304,2024-10-25
2024-10-28,233.32,234.73,232.55,233.4,36087134,2024-10-28
2024-10-29,233.1,234.325,232.32,233.67,35417247,2024-10-29
2024-10-30,232.61,233.47,229.55,230.1,47070907,2024-10-30
2024-10-31,229.34,229.83,225.37,225.91,64370086,2024-10-31
2024-11-01,220.965,225.35,220.27,222.91,65276741,2024-11-01
2024-11-04,220.99,222.79,219.71,222.01,44944468,2024-11-04
2024-11-05,221.795,223.95,221.14,223.45,28111338,2024-11-05
2024-11-06,222.61,226.065,221.19,222.72,54561121,2024-11-06
2024-11-07,224.625,227.875,224.57,227.48,42137691,2024-11-07
2024-11-08,227.17,228.66,226.405,226.96,38328824,2024-11-08
2024-11-11,225.0,225.7,221.5,224.23,42005602,2024-11-11
2024-11-12,224.55,225.59,223.355,224.23,40398299,2024-11-12
2024-11-13,224.01,226.65,222.76,225.12,48566217,2024-11-13
2024-11-14,225.02,228.87,225.0,228.22,44923941,2024-11-14
2024-11-15,226.4,226.92,224.27,225.0,47923696,2024-11-15
2024-11-18,225.25,229.74,225.17,228.02,44686020,2024-11-18
2024-11-19,226.98,230.16,226.66,228.28,36211774,2024-11-19
2024-11-20,228.06,229.93,225.89,229.0,35169566,2024-11-20
2024-11-21,228.88,230.155,225.7103,228.52,42108327,2024-11-21
2024-11-22,228.06,230.7199,228.06,229.87,38168252,2024-11-22
2024-11-25,231.46,233.245,229.74,232.87,90152832,2024-11-25
2024-11-26,233.33,235.57,233.33,235.06,45986189,2024-11-26
2024-11-27,234.465,235.69,233.8101,234.93,33498439,2024-11-27
2024-11-29,234.81,237.81,233.97,237.33,28481377,2024-11-29
2024-12-02,237.27,240.79,237.16,239.59,48137103,2024-12-02
2024-12-03,239.81,242.76,238.9,242.65,38861017,2024-12-03
2024-12-04,242.87,244.11,241.25,243.01,44383935,2024-12-04
2024-12-05,243.99,244.54,242.13,243.04,40033878,2024-12-05
2024-12-06,242.905,244.63,242.08,242.84,36870619,2024-12-06
2024-12-09,241.83,247.24,241.75,246.75,44649232,2024-12-09
2024-12-10,246.89,248.21,245.34,247.77,36914806,2024-12-10
2024-12-11,247.96,250.8,246.2601,246.49,45205814,2024-12-11
2024-12-12,246.89,248.74,245.68,247.96,32777532,2024-12-12
2024-12-13,247.815,249.2902,246.24,248.13,33155290,2024-12-13
2024-12-16,247.99,251.38,247.65,251.04,51694753,2024-12-16
2024-12-17,250.08,253.83,249.78,253.48,51356360,2024-12-17
2024-12-18,252.16,254.28,247.74,248.05,56774101,2024-12-18
2024-12-19,247.5,252.0,247.0949,249.79,60882264,2024-12-19
2024-12-20,248.04,255.0,245.69,254.49,147495267,2024-12-20
2024-12-23,254.77,255.65,253.45,255.27,40858774,2024-12-23
2024-12-24,255.49,258.21,255.29,258.2,23234705,2024-12-24
2024-12-26,258.19,260.1,257.63,259.02,27262983,2024-12-26
2024-12-27,257.83,258.7,253.06,255.59,42355321,2024-12-27
2024-12-30,252.23,253.5,250.75,252.2,35557542,2024-12-30
2024-12-31,252.44,253.28,249.43,250.42,39480718,2024-12-31
2025-01-02,248.93,249.1,241.8201,243.85,55740731,2025-01-02
2025-01-03,243.36,244.18,241.89,243.36,40244114,2025-01-03
2025-01-06,244.31,247.33,243.2,245.0,45045571,2025-01-06
2025-01-07,242.98,245.55,241.35,242.21,40855960,2025-01-07
2025-01-08,241.92,243.7123,240.05,242.7,37628940,2025-01-08
2025-01-10,240.01,240.16,233.0,236.85,61710856,2025-01-10
2025-01-13,233.53,234.67,229.72,234.4,49630725,2025-01-13
2025-01-14,234.75,236.12,232.472,233.28,39435294,2025-01-14
2025-01-15,234.635,238.96,234.43,237.87,39831969,2025-01-15
2025-01-16,237.35,238.01,228.03,228.26,71759052,2025-01-16
2025-01-17,232.115,232.29,228.48,229.98,68488301,2025-01-17
2025-01-21,224.0,224.42,219.38,222.64,98070429,2025-01-21
2025-01-22,219.79,224.12,219.79,223.83,64126500,2025-01-22
2025-01-23,224.74,227.03,222.3,223.66,60234760,2025-01-23
2025-01-24,224.78,225.63,221.41,222.78,54697907,2025-01-24
2025-01-27,224.02,232.15,223.98,229.86,94863418,2025-01-27
2025-01-28,230.85,240.19,230.81,238.26,75707569,2025-01-28
2025-01-29,234.12,239.855,234.01,239.36,45486100,2025-01-29
2025-01-30,238.665,240.79,237.21,237.59,55658279,2025-01-30
2025-01-31,247.19,247.19,233.44,236.0,101075128,2025-01-31
2025-02-03,229.99,231.83,225.7,228.01,73063301,2025-02-03
2025-02-04,227.25,233.13,226.65,232.8,45067301,2025-02-04
2025-02-05,228.53,232.67,228.27,232.47,39664989,2025-02-05
2025-02-06,231.285,233.8,230.425,233.22,29925349,2025-02-06
2025-02-07,232.6,234.0,227.26,227.63,39707224,2025-02-07
2025-02-10,229.57,230.585,227.2,227.65,33115645,2025-02-10
2025-02-11,228.2,235.23,228.13,232.62,53718362,2025-02-11
2025-02-12,231.2,236.96,230.68,236.87,45243292,2025-02-12
2025-02-13,236.91,242.3399,235.57,241.53,53614054,2025-02-13
2025-02-14,241.25,245.55,240.99,244.6,40896227,2025-02-14
2025-02-18,244.15,245.18,241.84,244.47,48822491,2025-02-18
2025-02-19,244.66,246.01,243.1604,244.87,32204215,2025-02-19
2025-02-20,244.94,246.78,244.29,245.83,32316907,2025-02-20
2025-02-21,245.95,248.69,245.22,245.55,53197431,2025-02-21
2025-02-24,244.925,248.86,244.42,247.1,51326396,2025-02-24
2025-02-25,248.0,250.0,244.91,247.04,48013272,2025-02-25
2025-02-26,244.33,244.98,239.13,240.36,44433564,2025-02-26
2025-02-27,239.41,242.46,237.06,237.3,41153639,2025-02-27
2025-02-28,236.95,242.09,230.2,241.84,56833360,2025-02-28
2025-03-03,241.79,244.0272,236.112,238.03,47183985,2025-03-03
2025-03-04,237.705,240.07,234.68,235.93,53798062,2025-03-04
2025-03-05,235.42,236.55,229.23,235.74,47227643,2025-03-05
2025-03-06,234.435,237.86,233.1581,235.33,45170419,2025-03-06
2025-03-07,235.105,241.37,234.76,239.07,46273565,2025-03-07
2025-03-10,235.54,236.16,224.22,227.48,71451281,2025-03-10
